fila,campo,valor_original,valor_nuevo,motivo
85,f_05,2,4,inversión: item negativo recodificado
86,f_01,4,2,inversión: item negativo recodificado
86,f_02,4,2,inversión: item negativo recodificado
86,f_03,2,4,inversión: item negativo recodificado
86,f_05,2,4,inversión: item negativo recodificado
87,f_01,4,2,inversión: item negativo recodificado
87,f_02,4,2,inversión: item negativo recodificado
87,f_03,4,2,inversión: item negativo recodificado
87,f_05,4,2,inversión: item negativo recodificado
88,f_01,2,4,inversión: item negativo recodificado
88,f_02,2,4,inversión: item negativo recodificado
88,f_03,2,4,inversión: item negativo recodificado
88,f_05,2,4,inversión: item negativo recodificado
89,edad,Masculino,,"columna desplazada: Edad vacía, sexo en columna edad"
89,f_01,1,5,inversión: item negativo recodificado
89,f_02,1,5,inversión: item negativo recodificado
89,f_03,1,5,inversión: item negativo recodificado
89,f_05,1,5,inversión: item negativo recodificado
90,f_01,2,4,inversión: item negativo recodificado
90,f_02,2,4,inversión: item negativo recodificado
90,f_03,2,4,inversión: item negativo recodificado
90,f_05,4,2,inversión: item negativo recodificado
91,f_01,5,1,inversión: item negativo recodificado
91,f_02,1,5,inversión: item negativo recodificado
91,f_03,1,5,inversión: item negativo recodificado
91,f_05,1,5,inversión: item negativo recodificado
92,f_01,1,5,inversión: item negativo recodificado
92,f_02,2,4,inversión: item negativo recodificado
92,f_03,1,5,inversión: item negativo recodificado
92,f_05,1,5,inversión: item negativo recodificado
93,f_01,4,2,inversión: item negativo recodificado
93,f_02,4,2,inversión: item negativo recodificado
93,f_03,4,2,inversión: item negativo recodificado
93,f_05,2,4,inversión: item negativo recodificado
94,f_01,1,5,inversión: item negativo recodificado
94,f_02,1,5,inversión: item negativo recodificado
94,f_03,2,4,inversión: item negativo recodificado
94,f_05,1,5,inversión: item negativo recodificado
95,f_01,4,2,inversión: item negativo recodificado
95,f_02,5,1,inversión: item negativo recodificado
95,f_03,4,2,inversión: item negativo recodificado
95,f_05,5,1,inversión: item negativo recodificado
96,f_01,2,4,inversión: item negativo recodificado
96,f_02,2,4,inversión: item negativo recodificado
96,f_03,4,2,inversión: item negativo recodificado
96,f_05,2,4,inversión: item negativo recodificado
97,f_01,1,5,inversión: item negativo recodificado
97,f_02,1,5,inversión: item negativo recodificado
97,f_03,1,5,inversión: item negativo recodificado
97,f_05,1,5,inversión: item negativo recodificado
98,f_01,2,4,inversión: item negativo recodificado
98,f_02,2,4,inversión: item negativo recodificado
98,f_03,2,4,inversión: item negativo recodificado
98,f_05,2,4,inversión: item negativo recodificado
99,f_01,4,2,inversión: item negativo recodificado
99,f_02,4,2,inversión: item negativo recodificado
99,f_03,2,4,inversión: item negativo recodificado
99,f_05,2,4,inversión: item negativo recodificado
100,f_01,4,2,inversión: item negativo recodificado
100,f_02,4,2,inversión: item negativo recodificado
100,f_03,4,2,inversión: item negativo recodificado
100,f_05,4,2,inversión: item negativo recodificado
101,f_01,2,4,inversión: item negativo recodificado
101,f_02,2,4,inversión: item negativo recodificado
101,f_03,2,4,inversión: item negativo recodificado
101,f_05,2,4,inversión: item negativo recodificado
102,edad,Masculino,,"columna desplazada: Edad vacía, sexo en columna edad"
102,f_01,1,5,inversión: item negativo recodificado
102,f_02,1,5,inversión: item negativo recodificado
102,f_03,1,5,inversión: item negativo recodificado
102,f_05,1,5,inversión: item negativo recodificado
103,f_01,2,4,inversión: item negativo recodificado
103,f_02,2,4,inversión: item negativo recodificado
103,f_03,2,4,inversión: item negativo recodificado
103,f_05,4,2,inversión: item negativo recodificado
104,f_01,5,1,inversión: item negativo recodificado
104,f_02,1,5,inversión: item negativo recodificado
